Date_Time,CO(GT),C6H6(GT),NOx(GT)
2004-03-12 18:00:00,3.9,19.3,206.0
2004-03-12 19:00:00,3.7,18.2,202.0
2004-03-12 20:00:00,6.6,32.6,340.0
2004-03-12 21:00:00,4.4,20.1,274.0
2004-03-12 22:00:00,3.5,14.3,253.0
2004-03-12 23:00:00,5.4,21.8,300.0
2004-03-13 00:00:00,2.7,9.6,193.0
2004-03-13 01:00:00,1.9,7.4,139.0
2004-03-13 02:00:00,1.6,5.4,83.0
2004-03-13 05:00:00,1.0,2.6,62.0
2004-03-13 06:00:00,1.2,2.9,53.0
2004-03-13 07:00:00,1.5,5.1,139.0
2004-03-13 08:00:00,2.7,11.8,256.0
2004-03-13 09:00:00,3.7,15.1,295.0
2004-03-13 10:00:00,3.2,12.9,250.0
2004-03-13 11:00:00,4.1,16.1,296.0
2004-03-13 12:00:00,3.6,14.0,239.0
2004-03-13 13:00:00,2.8,12.3,153.0
2004-03-13 14:00:00,2.0,8.6,118.0
2004-03-13 15:00:00,2.0,9.2,119.0
2004-03-13 16:00:00,2.5,10.2,138.0
2004-03-13 17:00:00,2.3,10.6,148.0
2004-03-13 18:00:00,3.2,15.5,227.0
2004-03-13 19:00:00,4.2,19.6,277.0
2004-03-13 20:00:00,4.2,19.2,279.0
2004-03-13 21:00:00,4.2,18.3,283.0
2004-03-13 22:00:00,3.1,13.1,214.0
2004-03-13 23:00:00,2.6,10.9,172.0
2004-03-14 00:00:00,2.9,11.0,190.0
2004-03-14 01:00:00,2.8,11.9,174.0
2004-03-14 02:00:00,2.5,8.6,128.0
2004-03-14 05:00:00,1.2,3.7,53.0
2004-03-14 06:00:00,1.0,2.5,44.0
2004-03-14 07:00:00,0.9,2.4,74.0
2004-03-14 08:00:00,1.4,4.2,101.0
2004-03-14 09:00:00,1.6,6.4,118.0
2004-03-14 10:00:00,2.2,8.6,144.0
2004-03-14 11:00:00,2.8,10.9,176.0
2004-03-14 12:00:00,2.8,10.7,161.0
2004-03-14 13:00:00,2.0,7.5,113.0
2004-03-14 14:00:00,1.8,7.5,103.0
2004-03-14 15:00:00,1.9,8.2,112.0
2004-03-14 16:00:00,3.0,11.9,170.0
2004-03-14 17:00:00,2.9,12.0,180.0
2004-03-14 18:00:00,2.5,12.2,160.0
2004-03-14 19:00:00,4.6,20.6,261.0
2004-03-14 20:00:00,5.9,23.1,325.0
2004-03-14 21:00:00,3.4,14.7,217.0
2004-03-14 22:00:00,2.1,9.0,146.0
2004-03-14 23:00:00,2.2,8.8,152.0
2004-03-15 00:00:00,1.8,7.4,104.0
2004-03-15 01:00:00,1.8,6.9,106.0
2004-03-15 02:00:00,1.8,7.0,108.0
2004-03-15 05:00:00,1.0,3.9,88.0
2004-03-15 06:00:00,1.4,6.4,138.0
2004-03-15 07:00:00,2.2,9.7,228.0
2004-03-15 08:00:00,5.5,25.9,360.0
2004-03-15 09:00:00,8.1,36.7,478.0
2004-03-15 10:00:00,5.8,26.6,394.0
2004-03-15 11:00:00,4.2,20.1,319.0
2004-03-15 12:00:00,3.1,14.1,201.0
2004-03-15 13:00:00,2.9,14.9,171.0
2004-03-15 14:00:00,2.9,15.4,159.0
2004-03-15 15:00:00,2.5,12.1,153.0
2004-03-15 16:00:00,2.3,11.5,143.0
2004-03-15 17:00:00,2.8,14.8,156.0
2004-03-15 18:00:00,6.1,32.1,314.0
2004-03-15 19:00:00,8.0,39.2,404.0
2004-03-15 20:00:00,6.5,31.0,320.0
2004-03-15 21:00:00,4.2,19.9,256.0
2004-03-15 22:00:00,3.2,15.3,193.0
2004-03-15 23:00:00,1.4,6.9,89.0
2004-03-16 00:00:00,2.1,11.1,127.0
2004-03-16 01:00:00,1.2,5.4,79.0
2004-03-16 02:00:00,0.8,2.8,43.0
2004-03-16 05:00:00,0.6,2.0,38.0
2004-03-16 06:00:00,0.9,3.5,82.0
2004-03-16 07:00:00,1.3,5.1,99.0
2004-03-16 08:00:00,3.4,16.2,263.0
2004-03-16 09:00:00,3.7,19.7,229.0
2004-03-16 10:00:00,5.3,25.1,396.0
2004-03-16 11:00:00,4.1,20.0,314.0
2004-03-16 12:00:00,3.3,18.3,217.0
2004-03-16 13:00:00,4.0,22.3,252.0
2004-03-16 14:00:00,3.8,20.4,263.0
2004-03-16 15:00:00,2.8,14.6,180.0
2004-03-16 16:00:00,2.9,16.6,184.0
2004-03-16 17:00:00,2.9,15.8,190.0
2004-03-16 18:00:00,3.4,17.8,184.0
2004-03-16 19:00:00,3.9,19.1,181.0
2004-03-16 20:00:00,3.2,15.8,166.0
2004-03-16 21:00:00,5.1,24.9,317.0
2004-03-16 22:00:00,2.6,13.5,184.0
2004-03-16 23:00:00,1.7,9.1,130.0
2004-03-17 00:00:00,1.7,8.6,132.0
2004-03-17 01:00:00,1.2,5.4,95.0
2004-03-17 02:00:00,0.9,4.1,70.0
2004-03-17 05:00:00,0.5,1.6,28.0
2004-03-17 06:00:00,0.5,1.9,46.0
2004-03-17 07:00:00,1.6,7.5,160.0
2004-03-17 08:00:00,4.1,21.4,320.0
2004-03-17 09:00:00,6.6,36.4,377.0
2004-03-17 10:00:00,4.3,21.3,280.0
2004-03-17 11:00:00,2.9,15.4,221.0
2004-03-17 12:00:00,2.5,12.5,210.0
2004-03-17 13:00:00,2.8,15.1,204.0
2004-03-17 14:00:00,2.6,13.7,161.0
2004-03-17 15:00:00,2.0,10.4,135.0
2004-03-17 16:00:00,2.9,15.2,186.0
2004-03-17 17:00:00,2.5,12.3,147.0
2004-03-17 18:00:00,5.0,27.0,299.0
2004-03-17 19:00:00,7.6,38.4,411.0
2004-03-17 20:00:00,6.7,35.1,347.0
2004-03-17 21:00:00,5.7,27.2,336.0
2004-03-17 22:00:00,2.8,15.0,202.0
2004-03-17 23:00:00,2.6,15.7,178.0
2004-03-18 00:00:00,2.3,13.0,154.0
2004-03-18 01:00:00,1.4,8.1,92.0
2004-03-18 02:00:00,1.0,5.5,61.0
2004-03-18 05:00:00,0.6,2.5,37.0
2004-03-18 06:00:00,0.7,3.0,68.0
2004-03-18 07:00:00,1.5,7.7,139.0
2004-03-18 08:00:00,4.7,23.3,339.0
2004-03-18 09:00:00,6.6,35.8,421.0
2004-03-22 16:00:00,2.3,11.6,150.0
2004-03-22 17:00:00,2.6,12.4,138.0
2004-03-22 18:00:00,3.8,18.3,213.0
2004-03-22 19:00:00,4.4,21.0,232.0
2004-03-22 20:00:00,4.5,21.0,238.0
2004-03-22 21:00:00,3.3,14.5,180.0
2004-03-22 22:00:00,2.0,8.4,128.0
2004-03-22 23:00:00,1.1,4.3,65.0
2004-03-23 00:00:00,0.9,3.8,53.0
2004-03-23 01:00:00,0.8,2.7,47.0
2004-03-23 02:00:00,0.7,2.5,51.0
2004-03-23 05:00:00,0.3,0.6,13.0
2004-03-23 06:00:00,0.5,1.8,33.0
2004-03-23 07:00:00,1.1,4.6,103.0
2004-03-23 08:00:00,3.0,14.2,224.0
2004-03-23 09:00:00,3.8,21.0,244.0
2004-03-23 10:00:00,3.4,16.2,237.0
2004-03-23 11:00:00,3.0,15.5,220.0
2004-03-23 12:00:00,2.7,13.4,207.0
2004-03-23 13:00:00,3.5,16.9,208.0
2004-03-23 14:00:00,2.8,12.4,160.0
2004-03-23 15:00:00,1.9,10.1,131.0
2004-03-23 16:00:00,2.0,8.7,128.0
2004-03-23 17:00:00,3.0,13.8,176.0
2004-03-23 18:00:00,1.9,9.3,107.0
2004-03-23 19:00:00,2.7,13.0,131.0
2004-03-23 20:00:00,3.3,14.3,166.0
2004-03-23 21:00:00,1.7,7.6,89.0
2004-03-23 22:00:00,1.3,5.3,81.0
2004-03-23 23:00:00,1.3,5.4,78.0
2004-03-24 00:00:00,1.2,4.9,70.0
2004-03-24 01:00:00,1.1,4.6,76.0
2004-03-24 02:00:00,0.9,2.7,43.0
2004-03-24 05:00:00,0.6,1.2,34.0
2004-03-24 06:00:00,0.8,1.7,43.0
2004-03-24 07:00:00,1.2,4.8,79.0
2004-03-24 08:00:00,3.1,13.8,174.0
2004-03-24 09:00:00,4.4,23.7,235.0
2004-03-24 10:00:00,3.4,14.2,218.0
2004-03-24 11:00:00,1.7,8.0,136.0
2004-03-24 12:00:00,1.5,6.7,117.0
2004-03-24 13:00:00,1.7,8.7,119.0
2004-03-24 14:00:00,2.2,10.8,126.0
2004-03-24 16:00:00,2.7,11.4,197.0
2004-03-24 17:00:00,2.8,13.4,195.0
2004-03-24 18:00:00,2.7,12.0,156.0
2004-03-24 19:00:00,4.5,20.2,247.0
2004-03-24 20:00:00,3.5,14.4,190.0
2004-03-24 21:00:00,2.6,9.4,169.0
2004-03-24 22:00:00,1.7,5.9,118.0
2004-03-24 23:00:00,1.3,4.5,81.0
2004-03-25 00:00:00,1.3,4.5,80.0
2004-03-25 01:00:00,1.0,2.5,42.0
2004-03-25 02:00:00,0.7,1.8,38.0
2004-03-25 04:00:00,0.5,0.9,18.0
2004-03-25 05:00:00,0.5,0.6,12.0
2004-03-25 06:00:00,0.6,1.4,43.0
2004-03-25 07:00:00,1.1,3.8,84.0
2004-03-25 08:00:00,2.7,11.6,184.0
2004-03-25 09:00:00,3.5,17.8,202.0
2004-03-25 10:00:00,2.3,8.8,133.0
2004-03-25 11:00:00,1.6,6.8,130.0
2004-03-25 12:00:00,1.3,5.9,106.0
2004-03-25 13:00:00,2.0,8.9,132.0
2004-03-25 14:00:00,1.9,8.2,106.0
2004-03-25 15:00:00,1.9,8.6,125.0
2004-03-25 16:00:00,2.2,10.1,138.0
2004-03-25 17:00:00,2.0,9.4,120.0
2004-03-25 18:00:00,2.9,14.6,158.0
2004-03-25 19:00:00,5.2,24.6,253.0
2004-03-25 20:00:00,4.6,21.6,231.0
2004-03-25 21:00:00,2.5,10.3,150.0
2004-03-25 22:00:00,1.5,5.7,99.0
2004-03-25 23:00:00,1.2,4.5,75.0
2004-03-26 00:00:00,1.7,5.5,93.0
2004-03-26 01:00:00,1.4,4.8,79.0
2004-03-26 02:00:00,1.2,3.6,67.0
2004-03-26 04:00:00,0.7,2.2,45.0
2004-03-26 05:00:00,0.8,3.0,72.0
2004-03-26 06:00:00,0.9,4.0,103.0
2004-03-26 07:00:00,1.6,6.7,132.0
2004-03-26 08:00:00,3.4,16.7,239.0
2004-03-26 09:00:00,3.8,19.3,275.0
2004-03-26 10:00:00,3.1,14.8,232.0
2004-03-26 11:00:00,2.7,13.4,180.0
2004-03-26 12:00:00,2.0,11.0,112.0
2004-03-26 13:00:00,2.3,12.5,116.0
2004-03-26 14:00:00,1.9,8.4,103.0
2004-03-26 15:00:00,1.3,5.3,89.0
2004-03-26 16:00:00,1.9,8.8,112.0
2004-03-26 17:00:00,2.3,11.2,127.0
2004-03-26 18:00:00,2.4,11.6,125.0
2004-03-26 19:00:00,2.7,12.4,120.0
2004-03-26 20:00:00,2.6,10.6,120.0
2004-03-26 21:00:00,1.5,6.0,99.0
2004-03-26 22:00:00,1.2,4.6,79.0
2004-03-26 23:00:00,1.1,4.1,66.0
2004-03-27 00:00:00,1.5,5.2,94.0
2004-03-27 01:00:00,1.0,3.2,70.0
2004-03-27 02:00:00,1.2,4.5,75.0
2004-03-27 05:00:00,0.8,1.9,32.0
2004-03-27 06:00:00,0.9,2.4,54.0
2004-03-27 07:00:00,1.1,3.3,68.0
2004-03-27 08:00:00,1.5,6.7,98.0
2004-03-27 09:00:00,1.8,8.5,128.0
2004-03-27 10:00:00,2.1,9.7,129.0
2004-03-27 11:00:00,2.1,9.4,130.0
2004-03-27 12:00:00,1.9,9.0,111.0
2004-03-27 13:00:00,2.1,10.0,106.0
2004-03-27 14:00:00,2.5,12.6,137.0
2004-03-27 15:00:00,1.9,7.6,113.0
2004-03-27 16:00:00,2.2,11.8,122.0
2004-03-27 17:00:00,2.3,11.2,137.0
2004-03-27 18:00:00,2.7,12.4,165.0
2004-03-27 19:00:00,3.0,12.9,196.0
2004-03-27 20:00:00,2.8,12.2,174.0
2004-03-27 21:00:00,2.2,8.8,140.0
2004-03-27 22:00:00,1.6,6.8,102.0
2004-03-27 23:00:00,2.1,8.6,130.0
2004-03-28 00:00:00,2.3,8.9,121.0
2004-03-28 01:00:00,2.3,8.3,111.0
2004-03-28 02:00:00,1.7,6.3,87.0
2004-03-28 04:00:00,1.3,5.1,77.0
2004-03-28 05:00:00,0.8,2.6,39.0
2004-03-28 06:00:00,1.1,3.6,77.0
2004-03-28 07:00:00,1.4,3.6,91.0
2004-03-28 08:00:00,1.3,4.7,105.0
2004-03-28 09:00:00,1.9,7.5,133.0
2004-03-28 10:00:00,2.3,9.0,128.0
2004-03-28 11:00:00,2.3,9.5,126.0
2004-03-28 12:00:00,1.8,7.7,92.0
2004-03-28 13:00:00,1.4,5.7,66.0
2004-03-28 14:00:00,1.0,3.8,50.0
2004-03-28 15:00:00,1.4,4.8,70.0
2004-03-28 16:00:00,1.3,4.3,73.0
2004-03-28 17:00:00,1.3,4.1,77.0
2004-03-28 18:00:00,1.4,4.7,86.0
2004-03-28 19:00:00,1.9,6.2,93.0
2004-03-28 20:00:00,1.8,5.5,105.0
2004-03-28 21:00:00,1.1,3.3,67.0
2004-03-28 22:00:00,1.1,3.2,63.0
2004-03-28 23:00:00,1.1,2.9,63.0
2004-03-29 00:00:00,0.9,2.2,46.0
2004-03-29 01:00:00,0.6,1.3,21.0
2004-03-29 02:00:00,0.5,1.1,22.0
2004-03-29 04:00:00,0.6,1.2,39.0
2004-03-29 05:00:00,0.7,1.7,55.0
2004-03-29 06:00:00,0.9,2.9,76.0
2004-03-29 07:00:00,2.9,14.3,181.0
2004-03-29 08:00:00,4.1,19.7,259.0
2004-03-29 09:00:00,1.5,5.5,118.0
2004-03-29 10:00:00,1.5,5.6,119.0
2004-03-29 11:00:00,1.5,5.8,123.0
2004-03-29 12:00:00,1.4,5.5,92.0
2004-03-29 13:00:00,1.6,6.5,91.0
2004-03-29 14:00:00,1.5,5.5,103.0
2004-03-29 15:00:00,1.4,5.2,102.0
2004-03-29 16:00:00,1.5,5.8,94.0
2004-03-29 17:00:00,1.9,7.9,98.0
2004-03-29 18:00:00,2.5,10.2,126.0
2004-03-29 19:00:00,2.1,8.2,108.0
2004-03-29 20:00:00,1.6,5.7,95.0
2004-03-29 21:00:00,1.2,3.8,78.0
2004-03-29 22:00:00,1.1,4.0,61.0
2004-03-29 23:00:00,1.0,2.8,55.0
2004-03-30 00:00:00,1.0,2.6,57.0
2004-03-30 01:00:00,0.7,1.8,41.0
2004-03-30 02:00:00,0.7,1.7,46.0
2004-03-30 05:00:00,0.7,2.3,52.0
2004-03-30 06:00:00,1.1,5.3,111.0
2004-03-30 07:00:00,2.6,13.4,191.0
2004-03-30 08:00:00,4.0,23.8,244.0
2004-03-30 09:00:00,4.2,21.5,283.0
2004-03-30 10:00:00,4.7,21.0,320.0
2004-03-30 11:00:00,3.9,18.4,249.0
2004-03-30 12:00:00,3.7,18.9,219.0
2004-03-30 13:00:00,3.4,17.1,200.0
2004-03-30 14:00:00,2.2,10.4,138.0
2004-03-30 15:00:00,1.9,8.0,118.0
2004-03-30 16:00:00,1.6,6.2,99.0
2004-03-30 17:00:00,2.1,9.7,112.0
2004-03-30 18:00:00,2.2,9.6,117.0
2004-03-30 19:00:00,2.7,11.9,129.0
2004-03-30 20:00:00,2.4,8.7,132.0
2004-03-30 21:00:00,1.3,4.7,73.0
2004-03-30 22:00:00,1.2,3.8,68.0
2004-03-30 23:00:00,1.5,4.7,80.0
2004-03-31 00:00:00,1.3,3.8,68.0
2004-03-31 01:00:00,1.0,2.7,44.0
2004-03-31 02:00:00,0.9,2.8,47.0
2004-03-31 04:00:00,0.5,0.8,15.0
2004-03-31 05:00:00,0.6,1.5,44.0
2004-03-31 06:00:00,1.0,3.5,85.0
2004-03-31 07:00:00,3.1,15.6,207.0
2004-03-31 08:00:00,4.1,19.9,230.0
2004-03-31 09:00:00,2.2,8.6,181.0
2004-03-31 10:00:00,1.7,6.5,144.0
2004-03-31 11:00:00,1.9,7.7,140.0
2004-03-31 12:00:00,2.9,11.3,204.0
2004-03-31 13:00:00,2.2,9.1,149.0
2004-03-31 14:00:00,2.6,11.2,171.0
2004-03-31 15:00:00,3.1,13.5,195.0
2004-03-31 16:00:00,2.3,10.1,152.0
2004-03-31 17:00:00,2.4,11.3,128.0
2004-03-31 18:00:00,2.8,11.8,121.0
2004-03-31 19:00:00,2.7,11.5,142.0
2004-03-31 20:00:00,2.3,9.3,131.0
2004-03-31 21:00:00,1.5,5.5,81.0
2004-03-31 22:00:00,1.4,5.1,60.0
2004-03-31 23:00:00,1.2,4.8,57.0
2004-04-01 00:00:00,1.6,6.3,96.0
2004-04-01 01:00:00,1.2,5.1,85.0
2004-04-01 02:00:00,1.1,4.1,50.0
2004-04-01 04:00:00,0.7,2.4,57.0
2004-04-01 05:00:00,0.9,2.9,64.0
2004-04-01 06:00:00,1.7,7.4,153.0
2004-04-01 07:00:00,4.2,19.8,342.0
2004-04-01 08:00:00,6.2,31.9,378.0
2004-04-01 09:00:00,4.6,21.0,304.0
2004-04-01 10:00:00,2.8,11.7,192.0
2004-04-01 11:00:00,1.6,6.8,130.0
2004-04-01 12:00:00,1.7,7.4,106.0
2004-04-01 13:00:00,1.7,8.6,102.0
2004-04-01 17:00:00,3.3,16.4,163.0
2004-04-01 18:00:00,4.2,21.2,211.0
2004-04-01 19:00:00,5.5,25.0,267.0
2004-04-01 20:00:00,4.9,20.2,269.0
2004-04-01 21:00:00,2.5,10.8,154.0
2004-04-01 22:00:00,2.0,9.9,127.0
2004-04-01 23:00:00,2.0,8.5,122.0
2004-04-02 00:00:00,2.0,8.0,126.0
2004-04-02 01:00:00,1.3,5.6,84.0
2004-04-02 02:00:00,1.0,3.2,58.0
2004-04-02 05:00:00,0.7,2.6,56.0
2004-04-02 06:00:00,1.1,4.3,91.0
2004-04-02 07:00:00,2.6,13.0,159.0
2004-04-02 08:00:00,3.9,20.3,190.0
2004-04-02 09:00:00,5.0,20.7,249.0
2004-04-02 10:00:00,3.3,15.9,196.0
2004-04-02 11:00:00,2.9,14.2,180.0
2004-04-02 12:00:00,3.1,15.9,167.0
2004-04-02 13:00:00,3.0,16.1,159.0
2004-04-02 14:00:00,2.7,14.7,152.0
2004-04-02 15:00:00,2.7,14.0,149.0
2004-04-02 16:00:00,2.6,13.6,143.0
2004-04-02 17:00:00,3.7,19.7,185.0
2004-04-02 18:00:00,4.5,23.3,223.0
2004-04-02 19:00:00,4.7,24.1,215.0
2004-04-02 20:00:00,5.5,25.4,271.0
2004-04-02 21:00:00,3.0,14.1,180.0
2004-04-02 22:00:00,1.9,10.1,115.0
2004-04-02 23:00:00,2.3,12.1,149.0
2004-04-03 00:00:00,1.6,9.0,98.0
2004-04-03 01:00:00,1.3,6.3,73.0
2004-04-03 02:00:00,1.2,5.3,69.0
2004-04-03 04:00:00,0.8,3.0,60.0
2004-04-03 05:00:00,0.8,3.3,56.0
2004-04-03 06:00:00,0.9,3.5,73.0
2004-04-03 07:00:00,2.0,9.5,159.0
2004-04-03 08:00:00,3.0,15.2,203.0
2004-04-03 09:00:00,3.1,14.3,211.0
2004-04-05 10:00:00,3.1,14.3,236.0
2004-04-05 11:00:00,3.0,13.7,228.0
2004-04-05 12:00:00,3.2,15.7,206.0
2004-04-05 13:00:00,3.1,15.4,188.0
2004-04-05 14:00:00,2.5,12.6,158.0
2004-04-05 15:00:00,2.1,9.8,124.0
2004-04-05 16:00:00,2.0,9.6,98.0
2004-04-05 17:00:00,3.2,16.3,160.0
2004-04-05 18:00:00,4.1,19.8,194.0
2004-04-05 19:00:00,3.9,18.0,174.0
2004-04-05 20:00:00,3.1,13.6,157.0
2004-04-05 21:00:00,2.0,8.7,109.0
2004-04-05 22:00:00,1.7,7.7,85.0
2004-04-05 23:00:00,1.6,7.3,90.0
2004-04-06 00:00:00,1.0,4.1,61.0
2004-04-06 01:00:00,0.8,2.7,36.0
2004-04-06 02:00:00,0.5,1.5,25.0
2004-04-06 04:00:00,0.5,1.8,24.0
2004-04-06 05:00:00,0.8,3.4,73.0
2004-04-06 06:00:00,1.7,8.5,164.0
2004-04-06 07:00:00,4.5,24.1,329.0
2004-04-06 08:00:00,6.2,33.7,302.0
2004-04-06 09:00:00,4.4,22.0,256.0
2004-04-06 10:00:00,2.9,14.1,182.0
2004-04-06 11:00:00,1.6,7.6,105.0
2004-04-06 12:00:00,2.6,14.5,136.0
2004-04-06 13:00:00,2.9,13.6,167.0
2004-04-06 14:00:00,2.5,11.5,166.0
2004-04-06 15:00:00,1.9,9.2,115.0
2004-04-06 16:00:00,1.9,10.3,109.0
2004-04-06 17:00:00,2.7,14.0,143.0
2004-04-06 18:00:00,3.0,15.0,159.0
2004-04-06 19:00:00,3.3,15.1,181.0
2004-04-06 20:00:00,3.2,14.8,178.0
2004-04-06 21:00:00,1.8,8.5,91.0
2004-04-06 22:00:00,1.3,5.9,76.0
2004-04-06 23:00:00,1.1,4.8,66.0
2004-04-07 00:00:00,0.9,4.0,56.0
2004-04-07 01:00:00,0.7,2.3,35.0
2004-04-07 02:00:00,0.4,1.4,21.0
2004-04-07 04:00:00,0.3,0.7,12.0
2004-04-07 05:00:00,0.3,0.8,22.0
2004-04-07 06:00:00,0.8,3.6,55.0
2004-04-07 07:00:00,2.8,12.9,152.0
2004-04-07 08:00:00,3.1,15.7,153.0
2004-04-07 09:00:00,2.3,8.6,152.0
2004-04-07 10:00:00,1.6,7.4,112.0
2004-04-07 11:00:00,1.5,6.6,119.0
2004-04-07 12:00:00,1.6,7.8,122.0
2004-04-07 13:00:00,1.8,9.1,115.0
2004-04-07 14:00:00,1.4,6.1,84.0
2004-04-07 15:00:00,1.9,7.5,146.0
2004-04-07 16:00:00,1.2,5.9,65.0
2004-04-07 17:00:00,2.3,12.7,120.0
2004-04-07 18:00:00,3.3,13.5,185.0
2004-04-07 19:00:00,3.1,14.5,157.0
2004-04-07 20:00:00,3.3,11.0,174.0
2004-04-07 21:00:00,1.2,3.2,62.0
2004-04-07 22:00:00,1.3,4.3,81.0
2004-04-07 23:00:00,1.9,7.1,118.0
2004-04-08 00:00:00,1.4,4.8,95.0
2004-04-08 01:00:00,1.5,5.7,84.0
2004-04-08 02:00:00,1.1,4.1,56.0
2004-04-08 05:00:00,0.8,2.8,69.0
2004-04-08 06:00:00,1.1,4.8,74.0
2004-04-08 07:00:00,2.6,13.8,161.0
2004-04-08 08:00:00,5.1,27.1,308.0
2004-04-08 09:00:00,4.2,19.1,300.0
2004-04-08 10:00:00,2.6,11.7,189.0
2004-04-08 11:00:00,2.4,12.7,164.0
2004-04-08 12:00:00,2.1,11.3,122.0
2004-04-08 13:00:00,2.6,14.2,166.0
2004-04-08 14:00:00,2.8,13.9,181.0
2004-04-08 15:00:00,2.5,13.2,127.0
2004-04-08 16:00:00,1.9,10.7,106.0
2004-04-08 17:00:00,3.6,19.7,192.0
2004-04-08 18:00:00,4.6,24.0,241.0
2004-04-08 19:00:00,6.3,29.1,326.0
2004-04-08 20:00:00,4.3,15.8,232.0
2004-04-08 21:00:00,1.6,7.0,92.0
2004-04-08 22:00:00,1.4,6.3,95.0
2004-04-09 23:00:00,2.3,8.4,157.0
2004-04-10 00:00:00,1.3,5.4,83.0
2004-04-10 01:00:00,1.7,6.9,118.0
2004-04-10 02:00:00,1.7,6.4,101.0
2004-04-10 04:00:00,0.8,3.3,46.0
2004-04-10 05:00:00,1.0,4.0,81.0
2004-04-10 06:00:00,1.4,6.0,112.0
2004-04-10 07:00:00,1.7,8.2,150.0
2004-04-10 08:00:00,2.0,9.9,138.0
2004-04-10 09:00:00,2.0,8.8,124.0
2004-04-10 10:00:00,1.9,8.4,124.0
2004-04-10 11:00:00,2.1,7.5,115.0
2004-04-10 12:00:00,1.8,7.8,101.0
2004-04-10 13:00:00,1.5,6.4,90.0
2004-04-10 14:00:00,1.3,5.1,90.0
2004-04-10 15:00:00,1.4,6.9,89.0
2004-04-10 16:00:00,1.5,6.8,92.0
2004-04-10 17:00:00,1.7,7.4,103.0
2004-04-10 18:00:00,2.0,8.7,122.0
2004-04-10 19:00:00,2.5,11.2,159.0
2004-04-10 20:00:00,2.4,10.5,172.0
2004-04-10 21:00:00,2.0,8.2,125.0
2004-04-10 22:00:00,2.9,11.6,187.0
2004-04-10 23:00:00,2.5,9.7,174.0
2004-04-11 00:00:00,1.4,5.1,75.0
2004-04-11 01:00:00,1.2,4.0,48.0
2004-04-11 02:00:00,1.0,3.7,61.0
2004-04-11 05:00:00,0.7,2.9,38.0
2004-04-11 06:00:00,0.8,2.9,41.0
2004-04-11 07:00:00,0.9,3.0,51.0
2004-04-11 08:00:00,1.1,3.7,61.0
2004-04-11 09:00:00,1.0,3.9,47.0
2004-04-11 10:00:00,1.6,6.2,87.0
2004-04-11 11:00:00,1.8,7.3,107.0
2004-04-11 12:00:00,2.6,9.2,161.0
2004-04-11 13:00:00,1.1,4.0,61.0
2004-04-11 14:00:00,0.6,2.3,26.0
2004-04-11 15:00:00,0.9,3.1,42.0
2004-04-11 16:00:00,1.0,3.2,55.0
2004-04-11 17:00:00,1.2,3.3,65.0
2004-04-11 18:00:00,1.4,4.0,75.0
2004-04-11 19:00:00,2.0,5.7,93.0
2004-04-11 20:00:00,1.1,3.4,63.0
2004-04-11 21:00:00,1.1,3.5,60.0
2004-04-11 22:00:00,1.1,2.9,63.0
2004-04-11 23:00:00,1.1,3.1,66.0
2004-04-12 00:00:00,0.7,1.6,41.0
2004-04-12 01:00:00,0.6,1.1,42.0
